token,source_anchor,reason,guidance_status,frozen_source,note
2024-12-31,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Held-out / production boundary date. Not recorded in frozen evidence."
2025-01-01,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"2025 forward-evaluation start. Not recorded in frozen evidence."
2025-12-29,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"2025 forward-evaluation end. Not recorded in frozen evidence."
0.98,*,IAAO_STANDARD_CONSTANT,IAAO_2013_ADOPTED,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Lower bound of the adopted PRD range [0.98,1.03]."
1.03,*,IAAO_STANDARD_CONSTANT,IAAO_2013_ADOPTED,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Upper bound of the adopted PRD range [0.98,1.03]."
0.05,*,IAAO_STANDARD_CONSTANT,IAAO_2013_ADOPTED,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Half-width of the adopted PRB range [-0.05,0.05]."
0.95,*,IAAO_STANDARD_CONSTANT,IAAO_2026_ED2_PROPOSED,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Lower bound of the EXPOSURE-DRAFT MKI band [0.95,1.05]. Proposed, not adopted."
1.05,*,IAAO_STANDARD_CONSTANT,IAAO_2026_ED2_PROPOSED,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Upper bound of the EXPOSURE-DRAFT MKI band [0.95,1.05]. Proposed, not adopted."
0.10,*,IAAO_STANDARD_CONSTANT,IAAO_2026_ED2_PROPOSED,analysis/p1_inferential_reporting/tables/vei_significance.csv,"The exposure-draft VEI band is +/-10%; ed2_band_pct records it."
15,*,IAAO_STANDARD_CONSTANT,IAAO_2013_ADOPTED,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Upper bound of the adopted COD range [5,15] for single-family residential. Note the paper's own baseline COD is 21.3-24.7%, i.e. outside this range."
5,*,IAAO_STANDARD_CONSTANT,IAAO_2013_ADOPTED,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Lower bound of the adopted COD range [5,15]."
0,*,MATH_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Zero: the rho=0 origin, a neutral reference value, or an index base."
1,*,MATH_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Unity: neutral value of PRD/MKI/b, or an index base."
2,*,MATH_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Two: an exponent, a factor-of-two scaling, or a section number."
100,*,MATH_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"One hundred: the percent multiplier, or the top of the nominal display-anchor decade set."
90,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"The 90/10 chronological split rule, and (in eq:vei) the ED2 percentile-group construction."
10,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"The 90/10 chronological split rule, or a nominal display-anchor decade."
7,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/tables/cv_fold_validation_overlap_audit.csv,"Seven expanding-window rolling-origin folds."
6,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/tables/cv_fold_validation_overlap_audit.csv,"A fold index within the seven-fold design, or a feature-group count."
30,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Thirty equal-count sale-price bins in the ratio-profile plots, and the assessor/property feature-group size."
50,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/configs/robustness_rho_grid.json,"The original 50-point positive grid on [0.1,100], before the 32-point lower-tail extension."
32,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/configs/robustness_rho_grid.json,"The 32-point v2 lower-tail extension: 50 + 32 = 82 positive values per family."
82,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/tables/e4_verdict.json,"82 positive values per family; e4_verdict n_rho = 83 counts rho=0 as well."
95,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Total predictor count of the upstream CCAO pipeline. NOT recorded in the frozen P0/P1 evidence."
23,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Categorical predictor count. NOT recorded in the frozen P0/P1 evidence."
26,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Proximity feature-group size. NOT recorded in the frozen P0/P1 evidence."
16,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"ACS 5-year feature-group size. NOT recorded in the frozen P0/P1 evidence."
9,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Location feature-group size, and the number of ED2-applicable evaluation blocks."
8,*,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Time feature-group size. NOT recorded in the frozen P0/P1 evidence."
344,subsec:path_design,TYPESETTING,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"The '344,607-sale' compound adjective is broken across a line, so the thousands separator is lost; the value itself is sourced as N-design-n-development."
38,subsec:path_design,TYPESETTING,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"Line-broken '38,290-sale'; the value is sourced as N-design-n-heldout."
26,subsec:path_design,TYPESETTING,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"Line-broken '26,641-sale'; the value is sourced as N-design-n-forward_2025."
0.9,subsec:ratio_shape_results,TYPESETTING,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Figure y-axis reference gridline in a caption."
1.1,subsec:ratio_shape_results,TYPESETTING,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Figure y-axis reference gridline in a caption."
2025,tab:ccao_baseline_results,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"Names the 2025 forward-evaluation block in the column header, notes and figure caption."
2024,tab:ccao_baseline_results,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"Last year of the production_2016_2024 refit sample, in the notes."
2016,tab:ccao_baseline_results,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"First year of the eligible sales universe, in the notes."
30,tab:ccao_baseline_results,DESIGN_CONSTANT,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Thirty equal-count sale-price bins in the ratio-profile figure caption."
2025,tab:path_anchor_summary,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"Names the 2025 forward-evaluation panel and the prose that follows the table."
2013,tab:path_anchor_summary,CITATION_OR_YEAR,IAAO_2013_ADOPTED,analysis/p1_inferential_reporting/tables/vei_significance.csv,"The notes correctly attribute the PRD and PRB ranges to the ADOPTED 2013 guidance."
100,tab:path_anchor_summary,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/configs/robustness_rho_grid.json,"The rho display LABEL of the top decade anchor, not a result. The tested value is exactly 100.0."
2025,tab:path_anchor_complementary,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"Names the 2025 forward-evaluation panel."
2013,tab:path_anchor_complementary,CITATION_OR_YEAR,IAAO_2013_ADOPTED,analysis/p1_inferential_reporting/tables/vei_significance.csv,"Adopted-guidance attribution in the notes."
100,tab:path_anchor_complementary,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/configs/robustness_rho_grid.json,"The rho display LABEL of the top decade anchor."
2025,tab:ccao_baseline_complementary,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"Names the 2025 forward-evaluation column group."
2025,tab:transition_summary,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"Names the 2025 forward-evaluation concordance row. The row's VALUES remain unsupported."
2025,tab:transition_regret,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"Names the 2025 forward-evaluation panel. The panel's VALUES remain unsupported."
2025,subsec:path_stability_results,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/provenance/PREFLIGHT.json,"Names the 2025 forward evaluation in prose."
0.98,tab:rho_candidate_regions,TYPESETTING,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"minipage width fraction in the table notes."
72,sec:introduction,EXTERNAL_LITERATURE_STATISTIC,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Share of local tax revenue from property taxes, attributed to Berry (2021) using 2016 Census Bureau data. An external-literature statistic, not a result of this paper."
47,sec:introduction,EXTERNAL_LITERATURE_STATISTIC,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Share of local own-source general revenue, attributed to Berry (2021)."
500,sec:introduction,EXTERNAL_LITERATURE_STATISTIC,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Annual property-tax total in billions of dollars, attributed to Berry (2021)."
2020,*,CITATION_OR_YEAR,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Publication year of a cited IAAO policy document."
3,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/tables/cv_fold_validation_overlap_audit.csv,"A fold index within the seven-fold rolling-origin design."
4,*,DESIGN_CONSTANT,NOT_APPLICABLE,analysis/p0_major_revision_validation/tables/cv_fold_validation_overlap_audit.csv,"A fold index within the seven-fold rolling-origin design."
0.9,*,TYPESETTING,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Figure y-axis reference gridline quoted in a caption."
1.1,*,TYPESETTING,NOT_APPLICABLE,NOT_RECORDED_IN_FROZEN_EVIDENCE,"Figure y-axis reference gridline quoted in a caption."
